AphiaID	scientific_name	dyntaxa_id
101179	Leegaardiella	1010645
101180	Lohmanniella	1010646
101185	Strobilidium	1010647
101190	Laboea	1010656
101195	Strombidium	1010651
101196	Tontonia	1010657
101198	Strombidinopsis	1010650
101206	Leegaardiella ovalis	238513
101207	Leegaardiella sol	238514
101209	Lohmanniella oviformis	238515
101264	Laboea strobila	238560
101282	Strombidium capitatum	238525
101287	Strombidium compressum	238527
101288	Strombidium conicoides	238528
101289	Strombidium conicum	238529
101310	Strombidium lagenula	238532
101325	Strombidium reticulatum	238533
101335	Strombidium sulcatum	238534
101342	Strombidium vestitum	238535
101344	Strombidium wulffi	238536
101350	Strombidinopsis acuminata	238524
1028	Sphacelariales	3000327
103425	Amastigomonas	1010677
103429	Amastigomonas debruynei	238612
103430	Amastigomonas mutabilis	238613
103989	Cafeteria	1010338
103990	Pseudobodo	1010340
103991	Caecitellus	1010341
103996	Bicosoeca gracilipes	237158
103997	Bicosoeca lacustris	237152
103998	Bicosoeca maris	237153
103999	Bicosoeca mediterranea	237159
104000	Bicosoeca mignotii	237154
104002	Bicosoeca petiolata	237156
104003	Bicosoeca planctonica	237157
104012	Cafeteria roenbergensis	237146
104015	Pseudobodo tremulans	237149
104016	Caecitellus parvulus	237150
105501	Acanthocorbis	1010537
105502	Acanthoeca	1010538
105505	Bicosta	1010540
105506	Calliacantha	1010541
105510	Cosmoeca	1010546
105511	Crinolina	1010547
105512	Crucispina	1010548
105513	Diaphanoeca	1010550
105516	Monocosta	1010552
105517	Nannoeca	1010554
105518	Parvicorbicula	1010555
105519	Platypleura	1010556
105520	Pleurasiga	1010557
105521	Polyfibula	1016350
105522	Polyoeca	1010559
105524	Saepicula	1010561
105525	Saroeca	1010563
105526	Savillea	1010564
105529	Stephanoeca	1010565
105531	Codosiga	1010545
105532	Desmarella	1010549
105535	Monosiga	1010553
105536	Proterospongia	1010560
105540	Pachysoeca	1015226
105541	Salpingoeca	1010562
105542	Acanthocorbis apoda	238089
105543	Acanthocorbis asymmetrica	238090
105544	Acanthocorbis campanula	238091
105545	Acanthocorbis haurakiana	238092
105546	Acanthocorbis unguiculata	238093
105547	Acanthoeca brevipoda	238094
105548	Acanthoeca spectabilis	238095
105556	Bicosta antennigera	238097
105557	Bicosta minor	238098
105558	Bicosta spinifera	238099
105559	Calliacantha longicaudata	238100
105560	Calliacantha multispina	238101
105561	Calliacantha natans	238102
105562	Calliacantha simplex	238103
105567	Cosmoeca norvegica	238109
105568	Cosmoeca ventricosa	238110
105569	Crinolina isefiordensis	238112
105570	Crucispina cruciformis	238113
105571	Diaphanoeca grandis	238115
105573	Diaphanoeca pedicellata	238116
105574	Diaphanoeca sphaerica	238117
105575	Diaphanoeca undulata	238118
105578	Monocosta fennica	238120
105579	Nannoeca minuta	238125
105582	Parvicorbicula circularis	238126
105587	Parvicorbicula quadricostata	238127
105588	Parvicorbicula socialis	238128
105590	Parvicorbicula superpositus	238129
105591	Platypleura infundibuliformis	238130
105595	Pleurasiga echinocostata	238131
105598	Pleurasiga minima	238132
105601	Pleurasiga reynoldsii	238133
105605	Polyfibula sphyrelata	263847
105607	Polyoeca dichotoma	238135
105610	Saepicula pulchra	238137
105611	Saroeca attenuata	238145
105612	Savillea micropora	238146
105613	Savillea parva	238147
105617	Stephanoeca apheles	238148
105620	Stephanoeca complexa	238149
105622	Stephanoeca cupula	238150
105623	Stephanoeca diplocostata	238151
105624	Stephanoeca elegans	238152
105625	Stephanoeca kentii	238153
105626	Stephanoeca norrisii	238154
105631	Stephanoeca urnula	238155
105633	Codosiga botrytis	238108
105636	Desmarella moniliformis	238114
105643	Monosiga marina	238122
105644	Monosiga micropelagica	238123
105645	Monosiga ovata	238124
105654	Salpingoeca aggregata	238138
105655	Salpingoeca amphoridium	238140
105661	Salpingoeca collaris	238141
105668	Salpingoeca inquillata	238143
105671	Salpingoeca marina	238144
106281	Chroomonas	1010531
106282	Cryptomonas	1010525
106283	Plagioselmis	1010527
106285	Teleaulax	1010533
106286	Goniomonas	1010528
106287	Hemiselmis	1010530
106288	Pyrenomonas	1016225
106289	Rhodomonas	1010534
106292	Chroomonas baltica	238050
106295	Chroomonas vectensis	238059
106297	Cryptomonas baltica	6329123
106303	Plagioselmis prolonga	238063
106305	Teleaulax acuta	238062
106306	Teleaulax amphioxeia	238063
106307	Goniomonas amphinema	238038
106308	Goniomonas pacifica	238039
106309	Goniomonas truncata	238040
106310	Hemiselmis virescens	238049
106314	Rhodomonas marina	238074
106316	Rhodomonas salina	238075
108733	Didymocystis	1015208
109386	Blastodiniales	3000849
109388	Desmocapsales	3000672
109390	Dinophysiales	3000625
109391	Gonyaulacales	3000851
109392	Gymnodiniales	3000619
109393	Noctilucales	3000626
109394	Peridiniales	3000850
109395	Phytodiniales	3000848
109396	Prorocentrales	3000620
109398	Pyrocystales	3000851
109400	Chytriodiniaceae	2003586
109401	Amoebophryaceae	2003593
109403	Desmocapsaceae	2003575
109408	Goniodomataceae	2003231
109409	Actiniscaceae	2003248
109410	Gymnodiniaceae	2003241
109412	Lophodiniaceae	2003245
109413	Polykrikaceae	2003241
109415	Warnowiaceae	2003242
109417	Leptodiscaceae	2003583
109418	Noctilucaceae	2003252
109421	Ceratiaceae	2003239
109422	Ceratocoryaceae	2003577
109425	Cladopyxidaceae	2003238
109426	Crypthecodiniaceae	2003236
109427	Dinosphaeraceae	2003578
109428	Gonyaulacaceae	2003233
109429	Heterodiniaceae	2003581
109431	Ostreopsidaceae	2003579
109432	Oxytoxaceae	2003944
109433	Peridiniaceae	2003230
109435	Protoperidiniaceae	2003235
109436	Pyrophacaceae	2003237
109437	Thecadiniaceae	2003576
109438	Thoracosphaeraceae	2003629
109440	Phytodiniaceae	2003596
109442	Prorocentraceae	2003244
109444	Pyrocystaceae	2003247
109448	Amoebophrya	1010700
109449	Adinimonas	1013843
109453	Kolkwitziella	1010569
109462	Dinophysis	1010631
109466	Phalacroma	1016219
109467	Sinophysis	1010632
109468	Fragilidium	1010599
109470	Alexandrium	1010588
109471	Achradina	1010628
109472	Actiniscus	1010629
109473	Amphidinium	1010608
109474	Cochlodinium	1010610
109475	Gymnodinium	1010606
109476	Gyrodinium	1010609
109477	Katodinium	1010607
109479	Torodinium	1010611
109480	Hemidinium	1010605
109484	Pheopolykrikos	1010618
109485	Polykrikos	1010619
109486	Oxyrrhis	1010625
109487	Pronoctiluca	1010633
109490	Nematodinium	1010615
109491	Warnowia	1010616
109492	Woloszynskia	1010622
109499	Kofoidinium	1010634
109500	Noctiluca	1010635
109502	Spatulodinium	1010636
109504	Pentapharsodinium	1010579
109505	Preperidinium	1010595
109506	Ceratium	1010604
109509	Cladopyxis	1010601
109510	Micracanthodinium	1010602
109514	Crypthecodinium	1010598
109515	Diplopsalis	1010592
109517	Amphidoma	1010583
109518	Amylax	1010584
109519	Gonyaulax	1010585
109523	Boreadinium	1010590
109528	Oxytoxum	1010573
109534	Coolia	1016190
109535	Diplopelta	1010591
109537	Diplopsalopsis	1010593
109538	Glenodinium	1010574
109540	Heterocapsa	1010571
109541	Kryptoperidinium	1010581
109542	Oblea	1010594
109543	Peridiniella	1010603
109544	Peridiniopsis	1010575
109545	Scrippsiella	1010578
109549	Peridinium	1010576
109550	Podolampas	1010589
109553	Protoperidinium	1010596
109555	Pyrophacus	1010600
109556	Amphidiniopsis	1010572
109557	Thecadinium	1016238
109559	Goniodoma	1010582
109564	Mesoporos	1010621
109566	Prorocentrum	1010620
109567	Protoceratium	1010586
109571	Pyrocystis	1010626
109578	Amoebophrya ceratii	238655
109583	Kolkwitziella acuta	238162
109603	Dinophysis acuminata	238459
109604	Dinophysis acuta	238460
109612	Dinophysis caudata	238462
109616	Dinophysis dens	238463
109624	Dinophysis fortii	6012117
109626	Dinophysis groenlandica	238464
109627	Dinophysis hastata	238465
109637	Dinophysis norvegica	238466
109638	Dinophysis odiosa	238467
109641	Dinophysis ovata	238468
109662	Dinophysis tripos	238474
109705	Fragilidium subglobosum	238287
109710	Alexandrium leei	261361
109711	Alexandrium minutum	238223
109712	Alexandrium ostenfeldii	238224
109713	Alexandrium pseudogonyaulax	238225
109714	Alexandrium tamarense	238226
109717	Actiniscus pentasterias	238456
109718	Amphidinium acutissimum	238364
109723	Amphidinium carterae	238365
109726	Amphidinium crassum	238366
109733	Amphidinium incoloratum	238368
109735	Amphidinium klebsii	238369
109741	Amphidinium longum	238370
109745	Amphidinium operculatum	238371
109746	Amphidinium ovoideum	238372
109754	Amphidinium sphenoides	238377
109759	Cochlodinium achromaticum	238400
109766	Cochlodinium helicoides	238402
109767	Cochlodinium helix	238403
109770	Cochlodinium pellucidum	238404
109773	Cochlodinium pupa	238405
109777	Gymnodinium abbreviatum	238322
109784	Gymnodinium catenatum	238327
109792	Gymnodinium endofasciculum	238330
109793	Gymnodinium filum	238331
109794	Gymnodinium fuscum	238333
109807	Gymnodinium lantzschii	238341
109818	Gymnodinium nolleri	238345
109819	Gymnodinium ostenfeldii	238346
109825	Gymnodinium pygmaeum	238349
109826	Gymnodinium rhomboides	238350
109827	Gymnodinium rubrocinctum	238351
109828	Gymnodinium rubrum	238352
109830	Gymnodinium semidivisum	238353
109834	Gymnodinium uberrimum	257885
109843	Gyrodinium britannicum	238379
109845	Gyrodinium cochlea	238380
109849	Gyrodinium crassum	238382
109851	Gyrodinium dominans	238383
109852	Gyrodinium estuariale	238384
109854	Gyrodinium flagellare	238386
109856	Gyrodinium fusiforme	238387
109859	Gyrodinium lachryma	238390
109861	Gyrodinium longum	238391
109871	Gyrodinium pepo	238392
109872	Gyrodinium pingue	238393
109876	Gyrodinium spirale	238395
109878	Gyrodinium undulans	238397
109881	Gyrodinium wulffii	263259
109882	Katodinium asymmetricum	238360
109889	Torodinium robustum	238407
109890	Torodinium teredo	238408
109891	Hemidinium nasutum	238320
109896	Pheopolykrikos beauchampii	238428
109899	Polykrikos kofoidii	238429
109901	Polykrikos schwartzii	238430
109902	Oxyrrhis marina	238451
109903	Pronoctiluca pelagica	238478
109907	Nematodinium armatum	238422
109918	Kofoidinium pavillardii	238479
109920	Kofoidinium velleloides	238480
109921	Noctiluca scintillans	238481
109923	Spatulodinium pseudonoctiluca	238482
109925	Pentapharsodinium dalei	238204
109992	Micracanthodinium claytonii	238291
109993	Micracanthodinium setiferum	245184
109998	Crypthecodinium cohnii	238286
11	Ciliophora	5000054
110001	Diplopsalis lenticula	238233
110007	Amylax triacantha	238212
110010	Gonyaulax apiculata	238213
110015	Gonyaulax digitale	238214
110035	Gonyaulax polygramma	238216
110039	Gonyaulax scrippsae	238217
110041	Gonyaulax spinifera	238218
110045	Gonyaulax verior	238219
110067	Boreadinium pisiforme	238229
110082	Oxytoxum caudatum	238170
110086	Oxytoxum coronatum	238171
110097	Oxytoxum laticeps	6012256
110114	Oxytoxum sceptrum	238174
110115	Oxytoxum scolopax	238175
110130	Coolia monotis	263191
110133	Diplopelta bomba	263222
110134	Diplopelta pusilla	238232
110139	Diplopsalopsis orbicularis	238235
110140	Glenodinium armatum	238177
110149	Glenodinium paululum	238180
110152	Heterocapsa rotundata	238167
110154	Kryptoperidinium foliaceum	238207
110155	Oblea rotunda	238237
110156	Peridiniella catenata	238292
110159	Peridiniopsis borgei	238183
110161	Peridiniopsis elpatiewskyi	257894
110166	Peridiniopsis quadridens	238188
110167	Scrippsiella crystallina	238198
110168	Scrippsiella lachrymosa	238201
110171	Scrippsiella trifida	238202
110181	Peridinium bipes	257898
110183	Peridinium cinctum	238189
110197	Peridinium volzii	257903
110198	Peridinium willei	238196
110199	Podolampas bipes	238227
110205	Protoperidinium achromaticum	238239
110206	Protoperidinium avellana	238240
110208	Protoperidinium bipes	238241
